Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
88697534721,The Strokes,Angles,"RCA, Sony Music","LP, Album, Gat",,2011,2772859,Uncategorized,2026-07-04 21:33:26,,,
093624850434,Green Day,Dookie,Reprise Records,"LP, Album, Ltd, RE, Blu",,2023,28422934,Uncategorized,2026-06-14 08:52:35,,,
MS 2060,Arlo Guthrie,Hobo's Lullaby,Reprise Records,"LP, Album, San",,1972,5821153,Uncategorized,2026-07-03 14:34:18,,,
"R1 45901, 081227971687",Alanis Morissette,Jagged Little Pill,"Reprise Records, Maverick","LP, Album, RE, RM, 180",,2012,17817910,Uncategorized,2026-07-05 19:52:37,,,
"RHF1 9034, 081227805661",The Velvet Underground,Loaded,"Rhino Records (2), Rhino Records (2), Cotillion, Cotillion","LP, Album, Ltd, Num, RE, 180",,2026,36426940,Uncategorized,2026-06-12 08:31:48,,,
"B0031946-01, COC 69100",The Rolling Stones,Exile On Main St,"Rolling Stones Records, Rolling Stones Records","2xLP, Album, RE, RM, 180",,2020,16035846,Uncategorized,2026-06-18 08:42:59,,,
SP 1570,The Shins,Chutes Too Narrow,Sub Pop,"LP, Album, RE, RM",,2023,28821367,Uncategorized,2026-07-04 21:08:44,,,
SP 595,The Postal Service,Give Up,Sub Pop,"LP, Album, RE, RM",,2019,14793761,Uncategorized,2026-07-04 22:34:02,,,
SP34,Nirvana,Bleach,Sub Pop,"LP, Album, RE",,2000,14568721,Uncategorized,2026-06-14 09:04:29,,,
"DGC 24425, 0720642442517",Nirvana,Nevermind,"Sub Pop, DGC, DGC","LP, Album, Ltd, RE, Met",,2024,32702064,Uncategorized,2026-06-21 17:34:41,,,
B0033100-01,Marvin Gaye,What's Going On,"Tamla, UMe","LP, Album, Ltd, RE, Gre",,2025,34574536,Uncategorized,2026-07-04 21:39:08,,,
"TBD0001, 88088-21623-1",Radiohead,In Rainbows,"TBD Records, RED Distribution","LP, Album",,2008,1187003,Uncategorized,2026-06-14 09:09:47,,,
NSCO-001,Ben Kweller,Go Fly A Kite,The Noise Company,"LP, Album, Dlx, Bla + CD, CD ",,2012,3533677,Uncategorized,2026-07-05 19:30:07,,,
"RCV1 547450, 081227880385",Prince And The Revolution,Purple Rain,"The Prince Estate, NPG Records, Warner Records","LP, Album, Ltd, RE, Pur",,2021,31492631,Uncategorized,2026-06-21 17:33:17,,,
R1 547642,Van Halen,Van Halen,Warner Bros. Records,"LP, Album, RE, RM, 180",,2015,6846296,Uncategorized,2026-06-14 08:42:06,,,
"RR1 3104, 3104",Black Sabbath,Paranoid,"Warner Bros. Records, Warner Bros. Records, Rhino Records (2)","LP, Album, RE, RM, Gat",,2016,10748263,Uncategorized,2026-07-06 17:07:10,,,
093624952176,The Flaming Lips,Yoshimi Battles The Pink Robots,"Warner Records, Lovely Sorts Of Death Music","LP, Album, RE, RM",,2023,30551773,Uncategorized,2026-07-05 19:42:32,,,
"RR1 1893, 603497847778",The Grateful Dead,American Beauty,"Warner Records, Warner Records, Rhino Records (2), Rhino Records (2)","LP, Album, RE, 50t",,2020,16194546,Uncategorized,2026-07-05 20:13:59,,,
